id;username;nama;alamat;password;role
2863791930160;ironman;Tony Stark;Bandung;kopisehatnyamandilambung;Admin
2863791920304;captainamerica;Steve Rogers;Jakarta;semakindidepan;Admin
2863791930288;thor;Thor Odinson;Asgaard;pancenoye;Admin
2863791880352;blackwidow;Natasha Romanoff;Kuala Lumpur;gosweatgoion;Admin
2863791930416;hulk;Bruce Banner;Bangkok;cintaiususmu;Admin
2863791930480;spiderman;Peter Parker;Bali;nyatanyanyegerin;User
2863791930544;blackpanther;Tchalla;Kampung Durian Runtuh;jagonyasoto;User
2863791930608;antman;Scott Lang;Jogja;jelasmineralnya;User
2863791930672;drstrange;Stephen Strange;Godric's Hollow;rasatehterbaikadadipucuknya;User
2863791930736;captainmarvel;Carol Danvers;Planet Ata Ta Tiga;priapunyaselera;User
2527678361072;BolaTenis;Wawan;Bumi;uwu;User
1854240206512;asspro_gaming;Zilong;land of dawn;heroesneverfade!;User
